place_id,name,cuisine,price_range,rating,address,zone,description,price_level,latitude,longitude,min_price,max_price,currency,last_updated
BOG_CH_LEO_01,Leo,Colombian / Fine Dining,$$$$,4.9,"Cl. 65 Bis #4-23, Bogotá, Colombia",Chapinero Alto,"Restaurante insignia de la chef Leonor Espinosa que muestra la biodiversidad a través de un menú de degustación.",4,4.648611,-74.062222,250000,450000,COP,2025-01-15
BOG_CH_ELCHATO_02,El Chato,Contemporary Colombian,$$$,4.8,"Cl. 65 #4-76, Bogotá, Colombia",Chapinero Alto,"Cena estilo bistró por Álvaro Clavijo, enfocada en ingredientes locales y técnicas modernas.",3,4.648889,-74.061944,120000,220000,COP,2025-01-15
BOG_ZG_HARRY_03,Harry Sasson,International / Grill,$$$$,4.7,"Cra. 9 #75-70, Bogotá, Colombia",Zona G,"Lugar icónico en una mansión estilo Tudor que sirve un vasto menú de carnes a la parrilla y clásicos internacionales.",4,4.656111,-74.056389,180000,350000,COP,2025-01-15
BOG_ZG_ELCIELO_04,El Cielo,Modern / Experimental,$$$$,4.6,"Cl. 70 #4-47, Bogotá, Colombia",Zona G,"Neuro-cocina que ofrece menús de degustación sensoriales inspirados en paisajes colombianos.",4,4.655833,-74.057222,220000,380000,COP,2025-01-15
BOG_ZG_CRITERION_05,Criterion,French / Modern,$$$$,4.6,"Cl. 69a #5-75, Bogotá, Colombia",Zona G,"Alta cocina clásica por los hermanos Rausch, conocida por su precisión técnica.",4,4.656389,-74.056944,200000,350000,COP,2025-01-15
BOG_LC_PUERTAFALSA_06,La Puerta Falsa,Traditional Colombian,$,4.7,"Cl. 11 #6-50, Bogotá, Colombia",La Candelaria,"El restaurante más antiguo de Bogotá (est. 1816), famoso por Tamales y Chocolate Santafereño.",1,4.597778,-74.071667,15000,25000,COP,2025-01-15
BOG_GA_DONAELVIRA_07,Restaurante Doña Elvira,Cocina Criolla,$$,4.6,"Cl. 50 #20-26, Bogotá, Colombia",Galerías,"Lugar legendario de almuerzos para platos criollos tradicionales como Sobrebarriga.",2,4.643056,-74.077222,30000,45000,COP,2025-01-15
BOG_LC_SONGRILLOS_08,Son de los Grillos,Traditional Colombian,$$,4.5,"Cl. 10 #3-60, Bogotá, Colombia",La Candelaria,"Cena romántica en una casa colonial con cocina bogotana clásica.",2,4.598333,-74.071389,35000,55000,COP,2025-01-15
BOG_CH_CAZUELAS_09,Las Cazuelas de la Abuela,Traditional Colombian,$$,4.4,"Cl. 59 #9-16, Bogotá, Colombia",Chapinero,"Especializado en cazuelas tradicionales y sopas abundantes.",2,4.642500,-74.064722,28000,42000,COP,2025-01-15
BOG_XX_SANTAFE_10,Restaurante Santa Fe,Traditional Colombian,$$,4.5,"Not Specified",La Candelaria,"Reconocido por servir uno de los mejores Ajiacos de la capital.",2,4.598056,-74.071944,32000,48000,COP,2025-01-15
BOG_CH_SALVOPATRIA_11,Salvo Patria,Sustainable / Bistro,$$$,4.7,"Cl. 54a #4-13, Bogotá, Colombia",Chapinero Alto,"Casual fine dining con enfoque en abastecimiento sostenible y charcutería casera.",3,4.647778,-74.062500,85000,160000,COP,2025-01-15
